Date ,Worker,Instances,A,C,D,G,O,J,N,Class
June 19-20,30,29,0,4.761904762,9.523809524,9.523809524,52.38095238,0,23.80952381,6
June 19-20,30,30,0,0,0,0,0,0,100,6
June 19-20,30,31,0,0,40,30,30,0,0,5
June 19-20,30,32,3.703703704,18.51851852,33.33333333,11.11111111,25.92592593,7.407407407,0,5
June 19-20,30,33,0,0,41.66666667,12.5,45.83333333,0,0,6
June 20-21,40,1,0,0,0,0,0,0,100,6
June 20-21,40,2,6.818181818,34.09090909,27.27272727,2.272727273,18.18181818,0,11.36363636,5
June 20-21,40,3,3.846153846,7.692307692,67.30769231,11.53846154,9.615384615,0,0,7
June 20-21,40,4,0,12.5,25,37.5,25,0,0,1
June 20-21,40,5,16.66666667,25,8.333333333,8.333333333,41.66666667,0,0,6
June 20-21,40,6,0,30.43478261,34.7826087,21.73913043,13.04347826,0,0,5
June 20-21,40,7,0,0,28.57142857,42.85714286,28.57142857,0,0,1
June 20-21,40,8,25,8.333333333,25,16.66666667,25,0,0,5
June 20-21,40,9,0,14.54545455,65.45454545,14.54545455,5.454545455,0,0,7
June 20-21,40,10,0,0,33.33333333,33.33333333,33.33333333,0,0,1
June 20-21,40,11,30,0,20,20,30,0,0,6
June 20-21,40,12,0,45.45454545,27.27272727,27.27272727,0,0,0,3
June 20-21,40,13,0,14.28571429,14.28571429,28.57142857,42.85714286,0,0,6
June 20-21,40,14,17.64705882,0,17.64705882,11.76470588,52.94117647,0,0,6
June 20-21,40,15,3.50877193,14.03508772,57.89473684,12.28070175,12.28070175,0,0,7
June 20-21,40,16,2.325581395,9.302325581,32.55813953,11.62790698,44.18604651,0,0,6
June 20-21,30,17,4.166666667,37.5,16.66666667,12.5,20.83333333,8.333333333,0,5
June 20-21,30,18,0,0,31.25,12.5,56.25,0,0,6
June 20-21,30,19,0,28.57142857,28.57142857,28.57142857,14.28571429,0,0,5
June 20-21,30,20,0,25.92592593,18.51851852,3.703703704,33.33333333,18.51851852,0,6
June 20-21,30,21,0,10.52631579,21.05263158,5.263157895,52.63157895,10.52631579,0,6
June 20-21,30,22,0,0,7.142857143,0,92.85714286,0,0,4
June 20-21,30,23,0,71.42857143,0,0,28.57142857,0,0,6
June 20-21,30,24,2.857142857,0,60,8.571428571,28.57142857,0,0,5
June 20-21,30,25,0,20,40,20,20,0,0,5
June 20-21,30,26,0,25.92592593,7.407407407,11.11111111,25.92592593,0,29.62962963,6
June 20-21,30,27,0,7.692307692,30.76923077,23.07692308,38.46153846,0,0,6
June 20-21,30,28,0,14.28571429,28.57142857,42.85714286,14.28571429,0,0,3
June 20-21,30,29,0,19.44444444,13.88888889,8.333333333,19.44444444,0,38.88888889,6
June 20-21,30,30,2.325581395,2.325581395,58.13953488,13.95348837,23.25581395,0,0,5
June 20-21,30,31,0,0,33.33333333,16.66666667,45.83333333,4.166666667,0,6
june 21-22,40,1,2.272727273,29.54545455,20.45454545,6.818181818,34.09090909,0,6.818181818,6
june 21-22,40,2,5.263157895,26.31578947,31.57894737,26.31578947,10.52631579,0,0,5
june 21-22,40,3,0,0,0,50,50,0,0,1
june 21-22,40,4,11.11111111,11.11111111,22.22222222,22.22222222,33.33333333,0,0,6
june 21-22,40,5,1.785714286,14.28571429,51.78571429,8.928571429,23.21428571,0,0,5
june 21-22,40,6,0,0,0,50,50,0,0,1
june 21-22,40,7,8.333333333,16.66666667,25,16.66666667,33.33333333,0,0,6
june 21-22,40,8,0,19.04761905,33.33333333,14.28571429,33.33333333,0,0,5
june 21-22,40,9,0,0,0,83.33333333,16.66666667,0,0,2
june 21-22,40,10,0,14.28571429,8.163265306,0,77.55102041,0,0,4
June25-26,30,1,0,0,0,0,0,0,100,6
July4-5,17,1,0,0,0.591715976,0.591715976,92.30769231,0,6.50887574,4
July4-5,17,2,0,0,0,0,100,0,0,4
July4-5,17,3,1.973684211,1.973684211,23.02631579,19.73684211,53.28947368,0,0,6
July4-5,17,4,0.980392157,1.960784314,32.35294118,10.78431373,52.94117647,0,0.980392157,6
July4-5,17,5,0,7.692307692,36.53846154,26.92307692,28.84615385,0,0,5
July4-5,17,6,0,9.523809524,9.523809524,42.85714286,28.57142857,9.523809524,0,1
July4-5,17,7,11.11111111,11.11111111,16.66666667,11.11111111,16.66666667,0,33.33333333,5
July4-5,23,8,14.28571429,14.28571429,42.85714286,14.28571429,14.28571429,0,0,5
July4-5,23,9,1.369863014,9.589041096,39.7260274,23.28767123,4.109589041,0,21.91780822,5
July4-5,23,10,0,0,15.78947368,73.68421053,10.52631579,0,0,2
July4-5,23,11,0,0,12.5,87.5,0,0,0,2
July4-5,23,12,2.53164557,5.696202532,46.83544304,11.39240506,22.78481013,4.430379747,6.329113924,5
July4-5,23,13,7.407407407,9.87654321,50.61728395,2.469135802,7.407407407,0,22.22222222,7
July4-5,23,14,1.136363636,21.59090909,42.04545455,23.86363636,11.36363636,0,0,5
July 5-6,35,14,1.515151515,16.66666667,18.18181818,9.090909091,21.21212121,0,33.33333333,6
July 5-6,35,15,0,0,31.57894737,47.36842105,21.05263158,0,0,3
July 5-6,35,16,0,0,0,100,0,0,0,2
July 5-6,35,17,3.703703704,18.51851852,70.37037037,7.407407407,0,0,0,7
July 5-6,35,18,0,12.5,45.83333333,33.33333333,8.333333333,0,0,3
July 5-6,35,19,0,0,33.33333333,66.66666667,0,0,0,3
July 5-6,35,20,13.33333333,26.66666667,20,40,0,0,0,3
July 5-6,35,21,0,36.36363636,27.27272727,27.27272727,9.090909091,0,0,5
July 5-6,35,22,0,28.57142857,42.85714286,28.57142857,0,0,0,3
July 5-6,35,23,0,0,50,50,0,0,0,3
July 5-6,35,24,2.941176471,7.352941176,20.58823529,13.23529412,19.11764706,5.882352941,30.88235294,5
July 5-6,35,25,0,20,52,28,0,0,0,7
July 5-6,35,26,0,0,0,100,0,0,0,2
July 5-6,35,27,6.666666667,10,13.33333333,23.33333333,23.33333333,23.33333333,0,1
July 5-6,35,28,0,7.692307692,30.76923077,23.07692308,15.38461538,23.07692308,0,5
July 5-6,35,29,0,0,0,50,12.5,37.5,0,1
July6-7,30,1,2.912621359,12.62135922,24.27184466,15.53398058,38.83495146,1.941747573,3.883495146,6
July6-7,30,2,0,6.52173913,60.86956522,13.04347826,19.56521739,0,0,7
July6-7,30,3,0,0,25,37.5,37.5,0,0,1
July6-7,30,4,8.333333333,37.5,16.66666667,20.83333333,16.66666667,0,0,1
July6-7,30,5,6.25,18.75,25,18.75,31.25,0,0,6
July6-7,30,6,0,0,66.66666667,33.33333333,0,0,0,7
July6-7,30,7,2.173913043,11.95652174,29.34782609,11.95652174,33.69565217,0,10.86956522,6
July6-7,30,8,0,4.87804878,31.70731707,17.07317073,46.34146341,0,0,6
July6-7,30,9,0,4.347826087,17.39130435,8.695652174,34.7826087,0,34.7826087,6
July6-7,30,10,0,29.62962963,18.51851852,3.703703704,48.14814815,0,0,6
July6-7,30,11,0,28.23529412,38.82352941,5.882352941,22.35294118,1.176470588,3.529411765,5
July 8-9,36,1,0,11.29032258,41.93548387,9.677419355,35.48387097,0,1.612903226,5
July 8-9,36,2,0,0,33.33333333,33.33333333,33.33333333,0,0,1
July 8-9,36,3,0,18.18181818,9.090909091,18.18181818,54.54545455,0,0,6
July 8-9,36,4,15.38461538,7.692307692,23.07692308,30.76923077,23.07692308,0,0,1
July 8-9,36,5,4.545454545,13.63636364,40.90909091,27.27272727,13.63636364,0,0,5
July 8-9,36,6,0,0,16.66666667,33.33333333,50,0,0,6
July 8-9,36,7,0,14.28571429,14.28571429,28.57142857,42.85714286,0,0,6
July 8-9,36,8,0,0,66.66666667,13.33333333,20,0,0,7
July 8-9,36,9,0,0,50,50,0,0,0,3
July 8-9,36,10,0,0,7.142857143,14.28571429,78.57142857,0,0,4
July12-13,22,1,0,0,0,0,98.97435897,0,1.025641026,4
July12-13,22,2,0,0,0,2.222222222,97.77777778,0,0,4
July12-13,22,3,0,0,0,0,100,0,0,4
July12-13,22,4,0,4.347826087,4.347826087,4.347826087,62.31884058,0,24.63768116,4
July12-13,22,10,0,5.555555556,11.11111111,16.66666667,66.66666667,0,0,4
July12-13,22,11,0,0,0,100,0,0,0,2
July12-13,22,12,0,0,0,100,0,0,0,2
July12-13,22,13,1.724137931,0,8.620689655,5.172413793,37.93103448,0,46.55172414,6
July12-13,22,14,0,0,50,50,0,0,0,3
July12-13,22,15,0,0,0,100,0,0,0,2
July12-13,22,16,3.773584906,18.86792453,15.09433962,20.75471698,11.32075472,20.75471698,9.433962264,1
July12-13,22,17,0,4,16,32,16,32,0,1
July12-13,30,18,0,15.38461538,23.07692308,19.23076923,42.30769231,0,0,6
July12-13,30,19,1.886792453,20.75471698,15.09433962,15.09433962,28.30188679,18.86792453,0,6
July12-13,30,20,0,6.666666667,57.77777778,13.33333333,22.22222222,0,0,5
July12-13,30,21,0,0,0,50,50,0,0,1
July12-13,30,22,0,0,0,100,0,0,0,2
July12-13,30,23,0,4,0,8,88,0,0,4
July12-13,30,24,0,33.33333333,33.33333333,33.33333333,0,0,0,3
July12-13,30,25,5,25,30,10,30,0,0,5
July12-13,30,26,0,9.090909091,56.36363636,12.72727273,21.81818182,0,0,5
July12-13,30,27,0,0,10,60,30,0,0,1
July12-13,30,28,0,8.928571429,14.28571429,1.785714286,32.14285714,0,42.85714286,6
July12-13,30,29,0,12.5,25,25,37.5,0,0,6
July12-13,30,30,0,3.333333333,6.666666667,16.66666667,73.33333333,0,0,4
July 13-14,40,1,5.454545455,23.63636364,21.81818182,10.90909091,30.90909091,0,7.272727273,6
July 13-14,40,2,3.448275862,12.06896552,65.51724138,5.172413793,13.79310345,0,0,7
July 13-14,40,3,0,0,14.28571429,42.85714286,42.85714286,0,0,1
July 13-14,40,4,23.07692308,0,23.07692308,7.692307692,46.15384615,0,0,6
July 13-14,40,5,0,50,50,0,0,0,0,7
July 13-14,40,6,0,27.77777778,22.22222222,16.66666667,33.33333333,0,0,6
July 13-14,40,7,0,0,33.33333333,33.33333333,33.33333333,0,0,1
July 13-14,40,8,15.38461538,7.692307692,23.07692308,30.76923077,23.07692308,0,0,1
July 13-14,40,9,0,11.32075472,62.26415094,18.86792453,7.547169811,0,0,7
July 13-14,40,10,0,0,14.28571429,57.14285714,28.57142857,0,0,1
July 13-14,40,11,18.75,6.25,25,12.5,37.5,0,0,6
July 13-14,40,12,4.545454545,18.18181818,50,22.72727273,4.545454545,0,0,7
July 13-14,40,13,0,12.5,50,12.5,25,0,0,5
July 13-14,40,14,15.78947368,0,21.05263158,21.05263158,42.10526316,0,0,6
July 13-14,40,15,0,15.25423729,62.71186441,10.16949153,11.86440678,0,0,7
July 13-14,30,16,0,15,25,10,50,0,0,6
July 13-14,30,17,8.695652174,26.08695652,17.39130435,8.695652174,30.43478261,8.695652174,0,6
July 13-14,30,18,0,8,12,8,72,0,0,4
July 13-14,30,19,0,0,28.57142857,28.57142857,42.85714286,0,0,6
July 13-14,30,20,13.63636364,18.18181818,13.63636364,9.090909091,45.45454545,0,0,6
July 13-14,30,21,0,0,58.13953488,11.62790698,30.23255814,0,0,5
July 13-14,30,22,0,0,33.33333333,66.66666667,0,0,0,3
July 13-14,30,23,13.04347826,26.08695652,13.04347826,17.39130435,30.43478261,0,0,6
July 13-14,30,24,0,41.17647059,17.64705882,23.52941176,17.64705882,0,0,1
July 13-14,30,25,0,0,42.85714286,28.57142857,28.57142857,0,0,5
July 13-14,30,26,5.882352941,41.17647059,23.52941176,5.882352941,23.52941176,0,0,5
July 13-14,30,27,0,9.090909091,69.6969697,12.12121212,9.090909091,0,0,7
July 13-14,30,28,0,9.090909091,18.18181818,18.18181818,54.54545455,0,0,6
July 13-14,30,29,3.448275862,27.5862069,3.448275862,3.448275862,41.37931034,20.68965517,0,6
July 13-14,30,30,0,2.631578947,23.68421053,5.263157895,57.89473684,10.52631579,0,6
July14-15,40,1,0,0,42.85714286,42.85714286,14.28571429,0,0,3
July14-15,40,2,3.773584906,26.41509434,28.30188679,9.433962264,22.64150943,0,9.433962264,5
July14-15,40,3,3.389830508,6.779661017,62.71186441,8.474576271,18.6440678,0,0,7
July14-15,40,4,0,0,0,16.66666667,83.33333333,0,0,4
July14-15,40,5,23.07692308,0,23.07692308,23.07692308,30.76923077,0,0,1
July14-15,40,6,0,39.28571429,32.14285714,14.28571429,14.28571429,0,0,5
July14-15,40,7,0,0,33.33333333,16.66666667,50,0,0,6
July14-15,40,8,20,10,30,40,0,0,0,3
July14-15,40,9,6.25,9.375,67.1875,10.9375,6.25,0,0,7
July14-15,40,10,0,0,16.66666667,50,33.33333333,0,0,1
July14-15,40,11,50,0,16.66666667,33.33333333,0,0,0,3
July14-15,40,12,0,100,0,0,0,0,0,5
July14-15,40,13,0,0,16.66666667,0,83.33333333,0,0,4
July14-15,40,14,0,7.692307692,38.46153846,23.07692308,30.76923077,0,0,5
July14-15,40,15,10,0,20,20,50,0,0,6
July14-15,40,16,4.255319149,12.76595745,61.70212766,8.510638298,12.76595745,0,0,7
July14-15,30,17,0,16.66666667,16.66666667,22.22222222,44.44444444,0,0,6
July14-15,30,18,3.333333333,20,13.33333333,10,50,3.333333333,0,6
July14-15,30,19,0,23.07692308,15.38461538,30.76923077,30.76923077,0,0,1
July14-15,30,20,0,0,40,60,0,0,0,3
July14-15,30,21,15.38461538,30.76923077,7.692307692,23.07692308,23.07692308,0,0,1
July14-15,30,22,0,5.405405405,62.16216216,8.108108108,24.32432432,0,0,7
July14-15,30,23,0,0,22.22222222,55.55555556,22.22222222,0,0,3
July14-15,30,24,0,32,16,20,32,0,0,6
July14-15,30,25,0,8.333333333,25,25,41.66666667,0,0,6
July14-15,30,26,0,0,0,18.18181818,63.63636364,18.18181818,0,4
July14-15,30,27,2.325581395,27.90697674,11.62790698,4.651162791,37.20930233,0,16.27906977,6
July14-15,30,28,2.272727273,6.818181818,61.36363636,13.63636364,15.90909091,0,0,7
July14-15,30,29,1.851851852,0,37.03703704,20.37037037,38.88888889,0,1.851851852,5
July14-15,30,30,5.882352941,47.05882353,29.41176471,11.76470588,5.882352941,0,0,5
July14-15,30,31,7.692307692,15.38461538,30.76923077,15.38461538,30.76923077,0,0,5
July 15-16,40,1,0,0,100,0,0,0,0,7
July 15-16,40,2,6.382978723,36.17021277,29.78723404,6.382978723,14.89361702,0,6.382978723,5
July 15-16,40,3,0,7.01754386,57.89473684,5.263157895,29.8245614,0,0,5
July 15-16,40,4,0,0,33.33333333,33.33333333,33.33333333,0,0,1
July 15-16,40,5,21.42857143,7.142857143,28.57142857,0,42.85714286,0,0,6
July 15-16,40,6,4,32,24,24,16,0,0,5
July 15-16,40,7,0,11.11111111,22.22222222,44.44444444,22.22222222,0,0,1
July 15-16,40,8,21.42857143,7.142857143,14.28571429,14.28571429,42.85714286,0,0,6
July 15-16,40,9,1.785714286,16.07142857,58.92857143,12.5,10.71428571,0,0,7
July 15-16,40,10,0,0,26.66666667,13.33333333,60,0,0,6
July 15-16,40,11,0,25,0,25,50,0,0,6
July 15-16,40,12,5,10,15,0,60,10,0,4
July 15-16,40,13,0,30.76923077,26.92307692,3.846153846,38.46153846,0,0,6
July 15-16,54,14,0,6.666666667,13.33333333,43.33333333,13.33333333,6.666666667,16.66666667,1
July 15-16,54,15,6.976744186,8.139534884,48.8372093,12.79069767,20.93023256,0,2.325581395,5
July 15-16,54,16,0,5.504587156,63.30275229,13.76146789,12.8440367,0,4.587155963,7
July 15-16,54,17,0,4.347826087,26.08695652,47.82608696,21.73913043,0,0,1
July 15-16,54,18,0,0,25.80645161,58.06451613,9.677419355,0,6.451612903,3
July 15-16,54,19,19.04761905,38.0952381,9.523809524,23.80952381,9.523809524,0,0,1
July 15-16,54,20,0,15,20,50,15,0,0,3
July 15-16,54,21,8.333333333,0,8.333333333,66.66666667,16.66666667,0,0,2
July 15-16,54,22,0,0,4.651162791,39.53488372,25.58139535,18.60465116,11.62790698,1
July 23-24,54,6,23.52941176,23.52941176,23.52941176,17.64705882,11.76470588,0,0,5
July 23-24,54,7,2.985074627,13.43283582,52.23880597,11.94029851,16.41791045,2.985074627,0,5
July 23-24,54,8,31.25,6.25,25,31.25,6.25,0,0,3
July 23-24,54,9,0,20,35,45,0,0,0,3
July 23-24,54,10,23.07692308,23.07692308,15.38461538,38.46153846,0,0,0,3
July 23-24,54,11,0,6.666666667,53.33333333,0,6.666666667,33.33333333,0,7
July 23-24,54,12,0,0,41.53846154,24.61538462,16.92307692,13.84615385,3.076923077,5
July 23-24,30,13,2.43902439,17.07317073,13.41463415,8.536585366,53.65853659,0,4.87804878,6
July 23-24,30,14,0,10,40,10,40,0,0,5
July 23-24,30,15,3.03030303,21.21212121,15.15151515,18.18181818,36.36363636,0,6.060606061,6
July 23-24,30,16,0,15.51724138,48.27586207,18.96551724,13.79310345,0,3.448275862,5
July 23-24,30,17,0,0,0,0,100,0,0,4
July 23-24,30,18,3.333333333,23.33333333,16.66666667,13.33333333,43.33333333,0,0,6
July 23-24,30,19,8.333333333,0,16.66666667,25,33.33333333,16.66666667,0,1
July 23-24,30,20,0,0,66.66666667,33.33333333,0,0,0,7
July 23-24,30,21,0,14.28571429,14.28571429,11.42857143,28.57142857,0,31.42857143,6
July 23-24,30,22,7.142857143,0,35.71428571,21.42857143,35.71428571,0,0,5
July 23-24,30,23,0,0,50,50,0,0,0,3
July 23-24,30,24,0,20,15,10,55,0,0,6
July 23-24,30,25,8.333333333,8.333333333,8.333333333,0,75,0,0,4
July 23-24,30,26,0,7.142857143,21.42857143,7.142857143,7.142857143,0,57.14285714,5
July 23-24,30,27,0,26.08695652,13.04347826,13.04347826,47.82608696,0,0,6
July 23-24,30,28,1.851851852,3.703703704,51.85185185,9.259259259,33.33333333,0,0,5
July 24-25,54,7,5.263157895,2.631578947,39.47368421,28.94736842,23.68421053,0,0,5
July 24-25,54,8,9.523809524,9.523809524,14.28571429,35.71428571,14.28571429,16.66666667,0,1
July 24-25,54,9,11.11111111,0,38.88888889,33.33333333,16.66666667,0,0,5
July 24-25,54,10,19.04761905,9.523809524,9.523809524,47.61904762,14.28571429,0,0,1
July 24-25,54,11,0,13.7254902,17.64705882,15.68627451,37.25490196,13.7254902,1.960784314,6
July 24-25,54,12,17.64705882,29.41176471,17.64705882,29.41176471,5.882352941,0,0,3
July 24-25,54,13,0,0,44.44444444,55.55555556,0,0,0,3
July 24-25,54,14,6.451612903,9.677419355,6.451612903,38.70967742,9.677419355,9.677419355,19.35483871,1
July 24-25,54,15,3.614457831,6.024096386,56.62650602,16.86746988,14.45783133,2.409638554,0,7
July 24-25,54,16,0,0,6.25,43.75,25,25,0,1
July 25-26,28,1,7.142857143,13.0952381,20.23809524,15.47619048,35.71428571,0,8.333333333,6
July 25-26,28,2,3.448275862,0,27.5862069,37.93103448,31.03448276,0,0,1
July 25-26,28,3,10.71428571,7.142857143,25,28.57142857,25,3.571428571,0,1
July 25-26,28,4,0,0,22.22222222,61.11111111,16.66666667,0,0,3
July 25-26,28,5,0,6.25,37.5,56.25,0,0,0,3
July 25-26,28,6,40,20,20,0,20,0,0,5
July 25-26,28,7,4.166666667,0,41.66666667,45.83333333,8.333333333,0,0,3
July 25-26,28,8,5.882352941,11.76470588,11.76470588,41.17647059,29.41176471,0,0,1
July 25-26,28,9,0,27.27272727,31.81818182,36.36363636,4.545454545,0,0,3
July 25-26,28,10,20,13.33333333,26.66666667,33.33333333,6.666666667,0,0,3
July 25-26,28,11,5,10,30,25,30,0,0,5
July 25-26,28,12,11.11111111,11.11111111,25.92592593,37.03703704,14.81481481,0,0,3
July 25-26,28,13,4.347826087,13.04347826,21.73913043,34.7826087,26.08695652,0,0,1
July 25-26,28,14,10.52631579,26.31578947,15.78947368,18.42105263,28.94736842,0,0,6
July 25-26,28,15,5.263157895,10.52631579,31.57894737,31.57894737,21.05263158,0,0,1
July 25-26,28,16,0,19.04761905,28.57142857,33.33333333,19.04761905,0,0,1
July 25-26,28,17,8.695652174,8.695652174,26.08695652,39.13043478,17.39130435,0,0,1
July 25-26,28,18,12.5,12.5,37.5,18.75,12.5,6.25,0,5
July 25-26,28,19,0,0,43.75,37.5,18.75,0,0,3
July 25-26,28,20,16,4,12,32,32,4,0,1
July 25-26,28,21,0,4.347826087,21.73913043,26.08695652,30.43478261,17.39130435,0,1
July 25-26,30,22,4.444444444,17.77777778,13.33333333,8.888888889,46.66666667,8.888888889,0,6
July 25-26,30,23,0,0,12.90322581,12.90322581,74.19354839,0,0,4
July 25-26,30,24,4.166666667,12.5,29.16666667,8.333333333,41.66666667,4.166666667,0,6
July 25-26,30,25,1.851851852,5.555555556,53.7037037,12.96296296,25.92592593,0,0,5
July 25-26,30,26,0,0,50,50,0,0,0,3
July 25-26,30,27,9.523809524,4.761904762,19.04761905,9.523809524,57.14285714,0,0,6
July 25-26,30,28,0,16.66666667,33.33333333,0,50,0,0,6
July 25-26,30,29,9.090909091,0,18.18181818,27.27272727,45.45454545,0,0,6
July 25-26,30,30,0,0,60,40,0,0,0,7
July 25-26,30,31,0,21.05263158,18.42105263,13.15789474,28.94736842,0,18.42105263,6
July 25-26,30,32,0,10.90909091,58.18181818,5.454545455,25.45454545,0,0,5
July 25-26,30,33,5.128205128,35.8974359,12.82051282,5.128205128,30.76923077,5.128205128,5.128205128,6
July 25-26,30,34,0,0,21.05263158,47.36842105,31.57894737,0,0,1
July 25-26,30,35,0,3.703703704,22.22222222,18.51851852,22.22222222,33.33333333,0,1
July 26-27,28,1,4.87804878,19.51219512,23.17073171,24.3902439,23.17073171,0,4.87804878,1
July 26-27,28,2,1.851851852,5.555555556,66.66666667,18.51851852,7.407407407,0,0,7
July 26-27,28,3,0,8.333333333,16.66666667,33.33333333,41.66666667,0,0,1
July 26-27,28,4,7.407407407,22.22222222,25.92592593,11.11111111,33.33333333,0,0,6
July 26-27,28,5,0,11.76470588,35.29411765,41.17647059,11.76470588,0,0,3
July 26-27,28,6,0,0,20,40,40,0,0,1
July 26-27,28,7,9.090909091,31.81818182,27.27272727,18.18181818,13.63636364,0,0,5
July 26-27,28,8,2.173913043,6.52173913,63.04347826,28.26086957,0,0,0,7
July 26-27,28,9,0,0,20,20,60,0,0,6
July 26-27,28,10,0,0,0,60,40,0,0,1
July 26-27,28,11,13.33333333,40,33.33333333,0,13.33333333,0,0,5
July 26-27,28,12,0,14.28571429,35.71428571,42.85714286,7.142857143,0,0,3
July 26-27,28,13,0,0,75,25,0,0,0,7
July 26-27,28,14,9.090909091,13.63636364,27.27272727,22.72727273,27.27272727,0,0,5
July 26-27,28,15,5.714285714,2.857142857,65.71428571,22.85714286,2.857142857,0,0,7
July 26-27,24,16,0,0,12.12121212,84.84848485,3.03030303,0,0,2
July 26-27,24,17,5,30,37.5,25,2.5,0,0,5
July 26-27,24,18,0,13.33333333,33.33333333,33.33333333,20,0,0,1
July 26-27,24,19,0,0,14.28571429,85.71428571,0,0,0,2
July 26-27,24,20,5.405405405,24.32432432,35.13513514,21.62162162,13.51351351,0,0,5
July 26-27,24,21,0,0,57.14285714,33.33333333,9.523809524,0,0,7
July 26-27,24,22,9.090909091,0,18.18181818,72.72727273,0,0,0,2
July 26-27,24,23,6.451612903,25.80645161,22.58064516,29.03225806,0,16.12903226,0,3
July 26-27,24,24,0,5.555555556,44.44444444,44.44444444,5.555555556,0,0,3
July 26-27,24,25,0,9.090909091,9.090909091,72.72727273,9.090909091,0,0,2
July 26-27,24,26,5.555555556,16.66666667,52.77777778,25,0,0,0,7
July 26-27,24,27,7.692307692,0,30.76923077,30.76923077,30.76923077,0,0,1
July 26-27,24,28,0,0,16.66666667,41.66666667,41.66666667,0,0,1
July 26-27,24,29,5.263157895,26.31578947,21.05263158,47.36842105,0,0,0,3
July 26-27,24,30,0,0,100,0,0,0,0,7
July 26-27,24,31,0,11.11111111,22.22222222,33.33333333,33.33333333,0,0,1
July 26-27,24,32,0,0,21.73913043,30.43478261,13.04347826,34.7826087,0,1
July 27-28,28,33,6.25,6.25,25,43.75,18.75,0,0,1
July 27-28,28,34,8.108108108,5.405405405,10.81081081,37.83783784,32.43243243,5.405405405,0,1
July 27-28,28,35,2.127659574,3.191489362,52.12765957,27.65957447,14.89361702,0,0,5
July 27-28,28,36,10.81081081,16.21621622,16.21621622,27.02702703,24.32432432,0,5.405405405,1
July 27-28,28,37,0,29.41176471,17.64705882,41.17647059,11.76470588,0,0,3
July 27-28,28,38,0,5.555555556,22.22222222,55.55555556,16.66666667,0,0,3
July 27-28,28,39,25,6.25,18.75,37.5,12.5,0,0,1
July 27-28,28,40,3.225806452,12.90322581,50,20.96774194,12.90322581,0,0,5
July 27-28,28,1,8.333333333,28.33333333,28.33333333,11.66666667,20,0,3.333333333,5
July 27-28,28,2,1.724137931,6.896551724,48.27586207,25.86206897,17.24137931,0,0,5
July 27-28,28,3,15.38461538,23.07692308,23.07692308,30.76923077,7.692307692,0,0,3
July 27-28,28,4,0,6.666666667,33.33333333,46.66666667,13.33333333,0,0,3
July 27-28,28,5,0,11.11111111,33.33333333,55.55555556,0,0,0,3
July 27-28,28,6,10.52631579,5.263157895,26.31578947,36.84210526,21.05263158,0,0,1
July 27-28,28,7,16,12,24,40,8,0,0,3
July 27-28,28,8,0,5.882352941,35.29411765,52.94117647,5.882352941,0,0,3
July 27-28,28,9,26.66666667,6.666666667,26.66666667,40,0,0,0,3
July 27-28,28,10,0,12.5,31.25,56.25,0,0,0,3
July 27-28,28,11,11.76470588,23.52941176,17.64705882,41.17647059,5.882352941,0,0,3
July 27-28,28,12,0,5.882352941,29.41176471,29.41176471,35.29411765,0,0,1
July 27-28,28,13,20,30,15,35,0,0,0,3
July 27-28,28,14,0,6.666666667,20,40,33.33333333,0,0,1
July 27-28,28,15,10.52631579,15.78947368,21.05263158,26.31578947,26.31578947,0,0,1
July 27-28,28,16,0,3.125,59.375,25,12.5,0,0,7
July 27-28,54,17,0,8.333333333,33.33333333,58.33333333,0,0,0,3
July 27-28,54,18,66.66666667,0,0,0,16.66666667,0,16.66666667,6
July 27-28,54,19,6.666666667,6.666666667,26.66666667,53.33333333,6.666666667,0,0,3
July 27-28,54,20,33.33333333,8.333333333,25,33.33333333,0,0,0,3
July 27-28,54,21,0,0,31.25,50,18.75,0,0,3
July 27-28,54,22,0,9.090909091,31.81818182,31.81818182,27.27272727,0,0,1
July 27-28,54,23,25,25,50,0,0,0,0,7
July 27-28,54,24,0,4.545454545,22.72727273,31.81818182,40.90909091,0,0,1
July 27-28,54,25,3.773584906,11.32075472,16.98113208,30.18867925,33.96226415,0,3.773584906,1
July 27-28,54,26,0,16.66666667,50,27.77777778,5.555555556,0,0,7
July 27-28,54,27,15.38461538,15.38461538,3.846153846,38.46153846,3.846153846,23.07692308,0,1
July 27-28,54,28,0,6.25,25,37.5,18.75,12.5,0,1
July 27-28,54,29,23.52941176,17.64705882,5.882352941,41.17647059,11.76470588,0,0,1
July 27-28,54,30,0,5.555555556,22.22222222,55.55555556,16.66666667,0,0,3
July 27-28,54,31,14.81481481,11.11111111,11.11111111,37.03703704,3.703703704,22.22222222,0,3
July 27-28,54,32,0,0,35.71428571,28.57142857,14.28571429,21.42857143,0,5
July 27-28,54,33,29.41176471,11.76470588,11.76470588,47.05882353,0,0,0,3
July 27-28,54,34,6.25,6.25,25,43.75,18.75,0,0,1
July 28-29,28,35,0,8.333333333,33.33333333,58.33333333,0,0,0,3
July 28-29,28,36,4.651162791,30.23255814,34.88372093,11.62790698,13.95348837,0,4.651162791,5
July 28-29,28,37,6.666666667,6.666666667,20,60,6.666666667,0,0,3
July 28-29,28,38,0,0,40,40,20,0,0,3
July 28-29,28,39,16.66666667,20,40,23.33333333,0,0,0,5
July 28-29,28,40,0,0,100,0,0,0,0,7
